CustomFieldValue,CustomFieldValueDescription
636016,636016 - Health and Life Insurance Graduate
636017,636017 - Undergraduate Stipend
636022,636022 - Graduate Scholarships
636027,636027 - Undergraduate Scholarships
637027,637027 - Operating Lease Computer
637032,637032 - Operating Lease Mainframe
637037,Software/Cloud subscriptions
637042,637042 - Operating Lease Equipment
637044,637044 - Seat Management Services
637047,637047 - Operating Lease Building
637052,637052 - Operating Lease Land
637053,637053 - Rentl Private Facility Admin by DGS
637057,637057 - Taxes and Insurance on Leased Build
637058,637058 - Rental Commissions
637062,637062 - Other Computer Installment Purchase
637067,637067 - Mainframe Computer Installmnt Purch
637077,637077 - Equipment Installment Purchases
638002,638002 - Professional Organization Membershp
638007,638007 - Professional Development Pub
638012,638012 - Employee Training Course Conference
638017,638017 - Foreign Educational Conferences
638022,638022 - Domestic Educational Conferences
638032,638032 - Employee Training Consulting
638037,638037 - Travel Employee Training
638047,638047 - Employee Training Subsistence
638052,638052 - Employee Training Public Carrier
638057,638057 - Info Tech Training
638058,638058 - Off-Campus Event Food / Meals
638059,638059 - Off-Campus Event Lodging
638061,638061 - Vehicle Fuel
638062,638062 - Mileage Personal Vehicle
638063,638063 - Travel Services Fees
638064,638064 - International Airfare
638065,638065 - Domestic Airfare
638066,638066 - Airfare Charges
638067,638067 - Public Carrier Travel Non Airfare
638068,638068 - Public Carrier Travel BOA
638069,638069 - Charter Air Travel
638070,638070 - Internet and Phone Travel
638071,638071 - Visa and Passport
638072,638072 - Travel State Vehicle
638073,638073 - Fundraising Travel
638074,638074 - Business Meals
638075,638075 - Registration Fees
638076,638076 - Lodging
638077,638077 - Tolls and Parking
638078,638078 - Car Rental
638079,638079 - Rail
638080,638080 - Taxi and Shuttle
638081,638081 - Meal Per Diem
638082,638082 - IRS reportable Meals
638084,638084 - Off-Campus Event Conference Space
638085,638085 - Off-Campus Event Alcohol
638086,638086 - Off-Campus Event A/V Equipment
638087,638087 - Meals not IRS reportable
638088,638088 - Off-Campus Events Furniture / Decor
638089,638089 - Off-Campus Event Staff Charges
638090,638090 - Event Staff Charges
638091,638091 - Off-Campus Event Parking
638092,638092 - Non Training Domestic Conventions
